transaction_id,date,quantity,price,sales_amount
1,2026-08-02,1,2000,2000
2,2026-08-03,2,50000,100000
3,2026-08-04,3,50000,150000
4,2026-08-05,5,2000,10000
5,2026-08-06,5,30000,150000
6,2026-08-07,2,2000,4000
7,2026-08-08,4,1500,6000
8,2026-08-09,5,1500,7500
9,2026-08-10,5,800,4000
10,2026-08-11,2,1500,3000
11,2026-08-12,4,50000,200000
12,2026-08-13,2,30000,60000
13,2026-08-14,1,1500,1500
14,2026-08-15,5,1500,7500
15,2026-08-16,1,50000,50000
16,2026-08-17,5,1500,7500
17,2026-08-18,2,1500,3000
18,2026-08-19,5,800,4000
19,2026-08-20,1,800,800
20,2026-08-21,1,50000,50000
21,2026-08-22,4,50000,200000
22,2026-08-23,2,2000,4000
23,2026-08-24,4,30000,120000
24,2026-08-25,1,800,800
25,2026-08-26,4,50000,200000
26,2026-08-27,5,50000,250000
27,2026-08-28,1,50000,50000
28,2026-08-29,1,1500,1500
29,2026-08-30,1,50000,50000
30,2026-08-01,5,50000,250000
31,2026-08-02,5,1500,7500
32,2026-08-03,2,30000,60000
33,2026-08-04,1,1500,1500
34,2026-08-05,3,1500,4500
35,2026-08-06,3,800,2400
36,2026-08-07,4,800,3200
37,2026-08-08,3,1500,4500
38,2026-08-09,1,2000,2000
39,2026-08-10,3,800,2400
40,2026-08-11,3,1500,4500
41,2026-08-12,1,50000,50000
42,2026-08-13,3,2000,6000
43,2026-08-14,1,1500,1500
44,2026-08-15,1,50000,50000
45,2026-08-16,1,30000,30000
46,2026-08-17,4,800,3200
47,2026-08-18,2,2000,4000
48,2026-08-19,2,50000,100000
49,2026-08-20,1,800,800
50,2026-08-21,3,50000,150000
51,2026-08-22,5,800,4000
52,2026-08-23,5,50000,250000
53,2026-08-24,2,2000,4000
54,2026-08-25,3,2000,6000
55,2026-08-26,5,30000,150000
56,2026-08-27,1,50000,50000
57,2026-08-28,3,30000,90000
58,2026-08-29,3,1500,4500
59,2026-08-30,2,800,1600
60,2026-08-01,2,50000,100000
61,2026-08-02,1,50000,50000
62,2026-08-03,4,30000,120000
63,2026-08-04,4,50000,200000
64,2026-08-05,5,1500,7500
65,2026-08-06,2,30000,60000
66,2026-08-07,5,50000,250000
67,2026-08-08,1,1500,1500
68,2026-08-09,4,30000,120000
69,2026-08-10,5,30000,150000
70,2026-08-11,5,800,4000
71,2026-08-12,4,800,3200
72,2026-08-13,3,800,2400
73,2026-08-14,1,800,800
74,2026-08-15,5,1500,7500
75,2026-08-16,4,2000,8000
76,2026-08-17,1,2000,2000
77,2026-08-18,5,2000,10000
78,2026-08-19,4,50000,200000
79,2026-08-20,3,30000,90000
80,2026-08-21,2,2000,4000
81,2026-08-22,4,800,3200
82,2026-08-23,1,50000,50000
83,2026-08-24,5,800,4000
84,2026-08-25,5,800,4000
85,2026-08-26,5,800,4000
86,2026-08-27,3,30000,90000
87,2026-08-28,2,1500,3000
88,2026-08-29,2,30000,60000
89,2026-08-30,2,2000,4000
90,2026-08-01,1,50000,50000
91,2026-08-02,5,50000,250000
92,2026-08-03,4,30000,120000
93,2026-08-04,3,2000,6000
94,2026-08-05,1,1500,1500
95,2026-08-06,3,50000,150000
96,2026-08-07,5,1500,7500
97,2026-08-08,2,1500,3000
98,2026-08-09,5,30000,150000
99,2026-08-10,4,2000,8000
100,2026-08-11,4,30000,120000
101,2026-09-01,1,950000,950000
102,2026-09-02,50,50000,2500000
103,2026-09-03,100,30000,3000000
