transaction_id,date,product,category,quantity,price,sales_amount
1,2026-09-01,Laptop,Electronics,2,50000,100000
2,2026-09-01,Phone,Electronics,1,30000,30000
3,2026-09-02,Headphones,Electronics,3,2000,6000
4,2026-09-02,Keyboard,Accessories,2,1500,3000
5,2026-09-03,Mouse,Accessories,4,800,3200
6,2026-09-03,Monitor,Electronics,1,20000,20000
7,2026-09-04,Phone,Electronics,2,30000,60000
8,2026-09-04,Laptop,Electronics,1,50000,50000
9,2026-09-05,Keyboard,Accessories,3,1500,4500
10,2026-09-05,Mouse,Accessories,5,800,4000
